,0,1,2
0,"[('task_visualisation', 'High')]",Kanban,11
1,"[('project_size', 'Small')]",Waterfall,21
2,"[('team_expertise', 'Medium;High')]",RAD,5
3,"[('task_visualisation', 'Medium')]",Hybrid: Scrum and Waterfall,2
4,"[('task_visualisation', 'High ')]",Kanban,2
5,"[('delivery_speed', 'High ')]",Hybrid: Scrum and Waterfall,1
6,"[('doc_needed', 'Low'), ('project_size', 'Medium')]",Scrum,26
7,"[('prod_complexity', 'Simple')]",RAD,1
8,"[('doc_needed', 'Medium'), ('fund_avail', 'Low')]",RAD,19
9,"[('fund_avail', 'Low')]",Spiral,6
10,"[('doc_needed', 'Low')]",Hybrid: Scrum and Kanban,2
11,"[('user_participation', 'Low')]",Waterfall,1
12,"[('testing_intensity', 'After development is done (Non-intensive testing)')]",Hybrid: Scrum and Kanban,2
13,"[('dev_expertise', 'Medium')]",Hybrid: Scrum and Waterfall,2
14,"[('team_size', 'Small (1-5)')]",Waterfall,1
15,"[('delivery_speed', 'Medium'), ('project_size', 'Medium')]",Hybrid: Scrum and Waterfall,8
16,"[('delivery_speed', 'Medium')]",Spiral,2
17,"[('requirements_volatility', 'Fixed'), ('dev_time', 'Intensive')]",RAD,1
18,"[('requirements_volatility', 'Fixed'), ('risk_analysis', 'High')]",Waterfall,1
19,"[('requirements_volatility', 'Fixed')]",RAD,1
20,"[('requirements_clarity', 'understandable/early defined')]",Hybrid: Scrum and Kanban,1
21,"[('risk_analysis', 'High')]",Hybrid: Waterfall and Kanban,1
22,"[('requirements_volatility', 'Changing')]",Scrum,1
