0,1,2
"[('project_size', 'Small')]",Waterfall,25
"[('task_visualisation', 'High')]",Kanban,9
"[('dev_time', 'Non-Intensive')]",Hybrid: Scrum and Kanban,2
"[('requirements_volatility', 'Fixed')]",RAD,2
"[('prod_complexity', 'Simple')]",Scrum,13
"[('risk_analysis', 'Low')]",RAD,18
"[('team_expertise', 'Medium'), ('doc_needed', 'High')]",Hybrid: Scrum and Waterfall,9
"[('risk_analysis', 'Medium')]",Scrum,4
"[('team_size', 'Large (16....)')]",Hybrid: Scrum and Kanban,2
"[('testing_intensity', 'After development is done (Non-intensive testing)')]",Hybrid: Scrum and Kanban,1
"[('dev_expertise', 'Medium')]",Scrum,2
"[('user_participation', 'Medium')]",Hybrid: Scrum and Waterfall,1
"[('requirements_clarity', 'understandable/early defined')]",RAD,1
"[('user_participation', 'Low')]",Spiral,6
"[('doc_needed', 'Low')]",Scrum,4
"[('project_size', 'Medium')]",Hybrid: Waterfall and Kanban,1
"[('requirements_volatility', 'Changing')]",RAD,1
